Review,Date Posted
"What ignorant driver number 7 What ignorant driver number 7 cork city route Douglas Dublin Hill. 4 times I've run customer service skills appalling. He's ignorant man I've ever met, Do better E",2023-10-10
"Disappointment disappointment Disappointment disappointment, 30 years old I finally buy car guarantee I could get work. You can't rely Cork City county services anything important, buses early, late show up. The whole thing needs reforming, definitely worst public transport service I've encountered except North America non existent. They probably need travel bit get inspired European countries.",2023-08-23
"This nightmare Buses always cancelled. To arrive point wait approx. 30 minutes. Often rain. Sometimes drivers ignores fact standing stop drive away!!! Its illogical go center Ardkeen cant take route 354 pickup stop!!! Everything done make buses inconvenient possible users!!! TFI route app always correct lean fate luck arrive home 2 hours work day tired, exhausted wet rain. People uses company monopolist. It alternative, I would avoid using this... It's transport Waterford.",2023-09-23
"The 32 Monaghan station awful My (the 32 Letterkenny Dublin) 5 October 2023, 35 minutes late Monaghan station. As usual, update given Monaghan station. I honestly idea staff actually do. There public announcement system certainly dont use it. Its better stop. Also, Earth prices ireann website Expressway website different services? I loathe dysfunction. Please improve.",2023-10-05
"Incredibly unreliable service Incredibly unreliable service, 2 Galway 401 busess row simply show I'm late work 45 min standing stop. Simply unbelievable normal occurrence there's literally nothing do. Disgraceful, zero star service.",2023-10-11
"An absolute disgrace Doesn't even deserve one star. service 202 / 202 A, Merchants Quay Mahon: constantly cancelled, could waiting hour stop without seeing passing (there every 10 minutes according timetables). Nowhere shelter rain massive crowd accumulates due lack buses. Shame !!!",2023-07-30
"BAD BUSTHIS SHOULNT EVEN BE DESERVING 1 STAR . THIS NEVER SHOWED UP I HAVE PLACES TO BE IVE BEEN STANDING FOR AGES AND IT NEVER SHOWED UP . ABSOLUTELY USELESS , THIS BETTER PATTER UP",2023-11-18
"Busroute 51 disaster. route 51 Galway either late (sometimes 1 hour) full. I understand book ticket online even fully booked. Today I see 6 people standing stop Ardrahan stop. ( It said, full). It's unreliable public transport system I ever came accross like ever. I see many negative reviews ignored nothing done improve it. We live time public transport important ever.",2023-09-20
"Worse 3rd World company I've gotten buses third world countries reliable sh@te Just missed job interview yet fail safe late buses/driver shows, typical Irish attitude 'it'll fine' How hard could second driver available case emergency? They simply want pay it, country that's economy allegedly booming. As always, never trust Irish man run company efficiently... I",2023-09-07
If I could rate 0/5 I would. The 109 services disgusting since always 20-40 minutes late. They rudest pr*cks drivers see running leave 5 minutes early that's little care. I've take taxis unreliable make hour late work every freaking time I enough. I'd rather spend 30 day penny buses. Disgraceful.,2023-10-06
Punctuality shockingbig well done d1/d2 service drogheda consistently 10 minutes late every single time sometimes even thirty,2023-11-09
"Absolutely useless support website Absolutely useless support website. I bought ticket, change it, called support, advised change online, system let change one leg, I changed tried change second leg, system allow it, called support again, advised try again, still happening, called support, asked request refund, I did, got answer Gerard, issue refunds amended tickets. Emailed back, answer 2 weeks, called support requested speak manager, got email Gerard day, refunds possible amended tickets... Absolutely useless, amount time I wasted company... ridiculous",2023-09-29
"RUDEWhat rude drivers seem hire . 405 driver Galway cathedral westside yesterday started slapping cabin window I fully topped leap card time. I asked much grunted 1.90, obviously I corrected 1.90 PLEASE! It takes nothing proffesional kind, perhaps rude man dissatisfied working ye find line work.",2023-03-13
"The 32 30 mins late The 32 Dublin Letterkenny 18:45 left 19.15. For people waiting actually informed delay given estimated departure time. The broke en route station. Im still giving one star delays happen virtually every time. Ridiculous still pay full price this. The 32 always late, particularly arriving leaving stations stops en route. The people Monaghan Donegal deserve much better.",2022-12-13
Worst public transportation EVERI many countries I came Cork study. All life I never witnessed terrible service comes public transportations. After 1 year Cork I state ALWAYS LATE. No matter day time. Full buses. I've always late work class. Probably among worst public transportation systems EU. And worst who's charge care. DO NOT rely buses Ireland.,2023-10-15
"How service I pay it? Completely unreliable service, arrogant disrespectful drivers. It run schedule finally shows up, full, smells urine ring bell stop, ploughs whichever stop feels like. Avoid like plague get electric scooter mode transport, carrot powered snail better this. Also common occurrence see 3-4 buses come time roller coaster ride.",2022-09-09
Rude Driver Very rude driver 101 Drogheda. Asked stops Swords Pavillion first time ignores me. As approached stop I asked ignores yet speaking up. At stop says dont ever get stop got fed nothing. Told f*** get .,2023-11-20
"step Game! really consider investing money new buses, old, smelly falling apart. Retrain driver's customer service absolutely rude, arrogance short answers!! You need step game!",2023-04-19
"This company doesnt even deserve 1 This company doesnt even deserve 1 star. The experiences Ive 355 service ridiculous. I doctors appointment today 24 week check I pregnant. The lazy driver decided stop stop probably much hassle them. Missed doctors appointment this, I also suffer anxiety completely distressed whole situation. Also 95% drivers Ive come meet pig ignorant.",2023-08-01
"Very bad customer service,not Very bad customer service,not drivers good enough. Making complain make sens Customer care stay always workers side matter bad behave . Unbelievable 21 century company existing . They advertise toilet drivers know working not. Many times closed",2022-09-12
"Completely incompetent company Completely incompetent company. They dont care customers, reviews. A 6 year old child could manage company moment. Ignorant employees. Buses late time 30min, years. Always excuse ""traffic"". Even tho actual problem buses never leave specified time. Somehow companies drive much routes still always make time even earlier. But ? Never.",2022-10-14
Possibly worst service Possibly worst service Ireland. Utterly rude drivers professionalism ethics. I got belittled several occasions travelling service. Just literally avoid can. They dont give shi*e even file complaint.,2023-03-27
"Unkind driver There driver 101 X rude.. I completely understand security reasons people remain seated arrive get off, please, way talk people.. :-/ Saying politely I would understood well :( It embarrassing shouted me.. :( And driver actually seems always bad mood ( I live Balbriggan Co. Dublin, take 101 101 X everyday get Dublin way work).. Please, I may, I think difference giving advice, telling someone off.. :( It's Busaras'driver 101 X I took Balbriggan (around 7am), number 231- D-13259.",2023-08-11
"Wexford depart many locations Wexford depart many locations especially Dublin heading Wexford earlier scheduled time. When I emailed complaint several times,they lied stating checked tracker left later scheduled time . I using . Very bad deal , satisfaction apology company.",2023-05-16
"The worst If I could give starts 5 piles sh@*te I would. Where begin... My son started 1st year school today despite two phone calls information pick point pick time . Had drive around morning trying locate end driving school myself. Turns pick point 5km away side road shelter. My daughter tries regularly take local work. 50% time stop time, full back ever supplied. I've witnessed drivers shouting people trying get get work morning, telling full, back up. This absolute shitshow supposed alternative owning private car......",2023-08-29
"I'd rate star's Worst company ever especially dublin airport 100x dundalk goes every hour 7.20 driver came said 12 people allowed full . People waiting ages family's etc driver said another would 20 minutes sign hour later thing happened saying needed pre book ticket people return tickets etc . Why back ? They treat customers like dirt . Holding people trying go home . You's absolute disgrace, liar's . No respect people's time . It would stop using again.",2023-08-06
"*** Unreliable, Awful, AVOID *** Worst service ever, better go Feda service. Waiting hour , case multiple occasions. route Derry Galway particularly bad timing, buses usually unclean toilet service. If I could give 0 stars, I would. Unreliable, especially travelling work appointment theyre always late.",2022-08-08
Worst service Europe Worst service Europe. Like something third word country. The 402 Galway failed turn 3 times last 24 hours. Unbelievable stuff. Eamon Ryan fit purpose needs remove office. Some ignorant drivers l ever encountered..pure pigs.,2023-06-19
"Worst service ever Worst service ever, firstly never time.. old buses, drivers rude always chatting passengers. Learn respect timetable many people depends buses. Please make effort improve services.",2023-05-10
"Terrible service never time, waited hour freezing cold once. Terrible service, filthy chewing gums seats, water dripping vent, among many things. Ticket also expensive doesnt add service provided. terrible, terrible terrible.",2022-10-30
"Absolutely atrocious Third World Absolutely atrocious Third World line! Got ticket Mullingar Dublin Airport 23 line. No information ticket location stop. Rang "" Help Line"" spoke chap called Simon. Said ""map app"" ""down"" last days. Pushed asked anyone knew. A minutes later told road, all. There two stops either side road. One literally zero signage it, 23 route it. running 15 mins late goes opposite stop completely unmarked. Rude driver, smelly , aircon, full morons playing music loudly without headphones, charging points functioning! Absolute Third World! The dark side Irish ""it'll grand"" mentality! Disgraceful! Never again! Avoid like plague!",2023-09-01
"Public service suitable Ireland's second city. Let preface saying judgement limited Cork city, relative several episodes experienced first-hand. I also stress I fair amount experience using public transport nations. The public transport service seems standard considered Ireland's second city, because:- journeys; increase frequency journeys. Just give examples seen first weeks stay Cork (but knows else is), lines (e.g. 245) regularly queue get Cork station! I waited standing several times quarter hour half hour.... There lines (such 210) run every 90 minutes ( I talking city centre). Furthermore, already happened full stop!- many delays: point indicating timetable many delays one longer looks tables relies fate;- electronic realtime signs city centre, exceptions (perhaps mainly urban decorations);- indications stops non-existent, incomprehensible useless. I would like able orient lines looking boards posted shelters, without Google Maps another navigator (as, example, possible London);- public service considered going work important appointments: I cancel appointments this. I strongly advise relying it, take well advance always ready call taxi gets bad. It suitable elderly people, students, reasons car, thats all;- slow service stops (time wasting boring): fact, first one door get off, wait every time getting last person gotten off! Waiting passengers get may justifiable metro, ! Once board, every time get , turn driver tell want go, least put card front him. Basically driver also acts ticket taker.- rules luggage, depends mood driver maybe knows ( I quite figured yet). If want carry heavy luggage, hope driver wants open lower compartment door, otherwise carry heavy suitcases cabin ( I'm talking lines buses lower luggage racks).- traveling Cork, despite general low quality service offered, expensive; On POSITIVE side:- buses I've seen far clean modern;- drivers general courteous professional, although normal occasionally find rude ones (as almost everywhere);- customer service works, answered several times, I think certain point. I would like clear I criticizing management: I capable carrying analyses. I limit indicating facts experienced firsthand objective way possible without reasons see improve one day, possible. I reiterate city like Cork strengthen improve public service adequate Ireland's second city. I happy edit review I see positive changes.",2023-12-21
"Crap website & Cash Only Website kept crashing I tried book regional tickets, I showed time timetable attempted pay card I refused, cash only! Antiquated unhelpful. Thank god new private service popped up, cheaper effective! West cork connect w",2023-01-12
"Have rate one star leave Have rate one star leave review. driver would let daughter Dublin Newry Thursday evening,because leaves 21.45 pm 21.44pm,seriously need learn customer service daughter wait one hour time night Dublin. Absolutely ridiculous awful awful awful hope said driver daughter would like done her? Imagine daughter felt one whole hour time night almost deserted station unsavoury characters hanging shame driv",2022-12-08
"Rubbish Rubbish. Randomly drop services driver available, I imagine? This means left sitting stop waiting never comes, late work, appointment, train catch, flight! Is cancelled? Is couple minutes late? Who knows! Thanks times I late can't fulfil scheduled services, least give us app communicate cancelled services notice!",2022-10-16
"The driver beyond impolite The driver beyond impolite. He belittled called ""knacker."" I deeply upsetted this. He regularly stopped make phone calls. The journey took hour I late cinema party 18th birthday. Usually drivers great, man needs taught decorum. I upset hurt. Very poor experience.",2023-07-15
Unsafe unreliable! Twice daughter stranded alone late night Galway Dingle journey connecting left station arrived. Grateful Tralee Radio Taxis could pick station 11.30pm Tuesday night drive Dingle.,2022-08-30
This absolute joke...2 hours 30 This absolute joke...2 hours 30 minutes limerick waterford toilet facilities.....are living south America something....an absolute discrase.... ashamed themselves.... I never again.... I dog I'm disprectived....,2022-11-26
