Review,Date
"This second time I travelling This second time I travelling experience worst last time. Wouldn't recommend service anybody. I charged extra money reserving seat, I reached board I told anybody sit anywhere old particular seat numbers. Also charging point quite basic facilities provided services day age. My phone switched I way charging phone, reaching leeds I withraw cash book cab home early morning. The seating also uncomfortable footrest tray put stuff on. Overall horrible experience .",2024-01-01
"ORDER NUMBER FAILEDMEGABUS ORDER NUMBER FAILEDOn 29 December, family lost 127.27 book coach Sheffield Newcastle upon Tyne kiosk 098115. We repeated booking online successful. We paid 140.60. Refund yet given.",2023-12-29
There delay way There delay way confusion Leeds station respect whether M15 Birmingham not. Please coordinators know going not.,2023-12-27
"I would like bring attention I would like bring attention issue I encountered recent trip. I reserved seat number 8 paid additional 1 pound it. However, upon boarding, I discovered someone already occupying seat refused relocate. I reported driver, unfortunately, concerns addressed. As result, I settle seat last row, made journey quite uncomfortable.",2024-01-02
"Far hot! So the, staff / driver great, cost. But... The temperature felt like million degrees, far hot comfortable long journey. Think also needs made clearer people reserved seat, sit permitted. It like constant musical chairs stop. Good value me.",2023-12-23
"Stress free travel Manchester back. Excellent service reasonable price. Comfortable coaches could relax enjoy journey Manchester back Scotland good time, without stress.",2023-12-23
The due 16.35 The due 16.35 19 15 left Newcastle I got Edinburgh I changed onto arriva I paid straight Newcastle Glasgow 23.00 I got Glasgow get taxi home I disabled lift come back taxi cost 18 I happy customer driver brilliant 10/10 driver,2023-12-29
"I travel weekly basis I travel weekly basis services time all. Most times late 60 90 minutes, put passengers hold. Another issue waiting Main Street adverse weather conditions It awful",2023-12-27
"First time It first time great! Our driver Ben, time (even though weather conditions pretty awful) friendly, informative helpful. Cant wait go again!",2023-12-31
"London trip On time pick up, driver really good telling us going happen way upto London also going London.",2023-12-28
"I reached coach station 20 I reached coach station 20 minutes departure unfortunately phone switched due low battery. I asked staff please let charge phone I show ticket, said today different coach travel Birmingham Manchester charging plug coach can't help you. show us ticket otherwise let travel. That absolutely disgusting behaviour staff coach. When booked ticket written coach charhing plugs?",2023-12-31
Fantastic service Fantastic service. On time exactly. Only one complaint language final driver colourful. Meaning lots fowl language.,2023-12-27
I waiting Finchley Road I waiting Finchley Road stop 09:30 onwards Waiting 11:30 turned So upsetting Never I checked location Obviously driver decided come probably I one waiting I asked everyone waiting stop So disappointing never know The whole Christmas ruined Thank,2023-12-23
"Last time Last time, I booked Middlesbrough Birmingham emergency came made able travel I chatted support either please refund reschedule dates I usually travel route. Support refused said something terms conditions. Even I pleaded, I wasnt pardoned. I actually decided I would never use . Its flexible all. I also use national express times something like happens, big deal. They readjust dates little token sometimes, even refund. I actually disappointed sad I pay fare I didnt even indulge in.",2023-12-31
"Despite horrendous weather Despite horrendous weather traffic delays, mainly due 7 car crash 2nd Severn bridge driver got us destination safely",2023-12-27
"I rely wifi arrival regular international visitor I live Australia travel UK annually visit family Bristol I I travel back Heathrow. The main reason I booked past I appreciate access wifi I contact family via whats app I arrive I get store buy prepaid sim. Sadly though wifi work last trip 2022/2023,nor earlier visit 2021/2022. Consequently I think twice booking next transfer. Because again, wifi arrival Heathrow incredibly useful international travellers. I would urge STOP advertising FREE WIFI false misleads consumers making purchasing decision. National Express hand offer reliable wifi travellers",2024-01-03
Had spend 2 hours delay Had spend 2 hours delay Victoria coach station. The upsetting thing one tell passengers happening. Very unusual disappointing. Please better future,2023-12-27
I missed mention stance ticket. I missed mentioned stance Glasgow due missed tried call customer service help me.so totally disappointed never choose again.,2024-01-01
"No communication driver I picked straight Manchester airport midd getting It broke Leeds communication driver told passengers front get , told passenger way We sat cold station seemed like hours finally turned up. I got midd 2 hours late.",2023-12-29
The never arrived put 20 The never arrived put 20 patients waiting 21.30 31/12/23 Manchester London I going catch flight Heathrow 08.00. I buy another ticket national express 70 stressful time I 72 yrs old second time happened I using Cheap company,2023-12-31
"On January 2nd departing 12:40 On January 2nd departing 12:40 Cardiff Heathrow T2 . I gave suitcase driver 12:30 asking much time I departure, said 10mn. This gave time walk 50yards say goodbyes son granddaughter. I walked back stop, already pulling away, run knock rear get attention, 12:25!! The driver respect time table, rude another driver calling C..nt. Hope youll trace driver remind rules company. Regardd",2024-01-02
1st trip fine return journey1st trip fine return journey awful toilet working flush still people using made smell,2023-12-27
Poor Service. The 30mins late arriving Friary Gardens small shelter pouring rain. We like many others endure 6hr journey wet cloths. Though conditions drivers fault length time took Heathrow however drivers fault late. Since stop 15mins time stand rain 45mins. Dont think I'll using again. Personally I think I'd rather pay extra go train.,2023-12-27
I able charge phone going I able charge phone going whole different city I needed communicate family. If say provides us charging phones expect I dont know,2023-12-31
"Worst experience Worst experience. delayed one informed. Went customer service counter asked, replied impolite staff. Hey, I paid ticket, free. Will never choose again.",2023-12-27
The broke wait The broke wait repaired making journey supposed last 5am 2pm entend 10pm. Provision made available things happen getting another nearest station broke covey passengers destination.,2023-12-27
"I booked 1:55am 24/12/24 I booked 1:55am 24/12/24 Brunel Street, Birmingham. We left stranded till 4am transited Leads another . Onward Newcastle. I get call apology till today. Hence rating.",2023-12-24
"Great service Great service, time, I Oxford Manchester using service, last years, one best one, drivers excellent everything get journey time, pleased",2023-12-24
Absolutely horrendous Absolutely horrendous. Driver 40mins late. No sorry act fault. Driving like lunatic. Talking mate phone journey Cardiff London. I pay 1each reserve seats 3 travelling 5yrs daughter . One guy sat seat refused move. What point us reserve seats. It 11.30 Victoria Cardiff . I journey 2days time. I dearly hope nicer driver. He shouldnt driving . RUDE RUDE little faces.,2024-01-01
Smooth efficient service I travelled Manchester Middlesbrough New Year's eve staff Manchester informative friendly. The service time clean comfortable,2023-12-31
The booked Changed The booked Changed different one older seating bad. Also I booked seats paying extra amount seat allocated priority managed changed,2023-12-28
"Wouldn't recommend worst enemy Raised complaint fact system would allow change booking Christmas resulted rebook another company. When trying raise complaint I simply given copy paste response basically read ""no refunds.""",2023-12-26
"I travelled quite times I travelled quite times . Firstly cost travel Manchester Reading see sister enabled visit often. I paid little 40 return ticket occasions view great value. I always book seat extra leg room I 2 bargain. The coaches journeys always clean tidy. The coach drivers put lot times people always polite. However I found drivers always friendly helpful. On last trip Reading I took late . The driver friendly helpful. I know buses always time , however driver anything traffic road works. So 9 10 C Dewhurst",2023-12-29
"Lovely Simple, clear efficient, updated problems apology, still got home time New Years.",2023-12-29
